Time,OD,Strain,Environment
11.92608333,0.588500023,TUB0,LB
12.10408333,0.589299977,TUB0,LB
12.28208333,0.591400027,TUB0,LB
12.46008333,0.581700027,TUB0,LB
12.63811111,0.568300009,TUB0,LB
12.81611111,0.561600029,TUB0,LB
12.99411111,0.555999994,TUB0,LB
13.17211111,0.552999973,TUB0,LB
13.35011111,0.548900008,TUB0,LB
13.52811111,0.547399998,TUB0,LB
13.70611111,0.548900008,TUB0,LB
13.88411111,0.551500022,TUB0,LB
14.06211111,0.543299973,TUB0,LB
14.24011111,0.545899987,TUB0,LB
14.41811111,0.543500006,TUB0,LB
14.59611111,0.539399981,TUB0,LB
14.77411111,0.539799988,TUB0,LB
14.95211111,0.53490001,TUB0,LB
15.13011111,0.537,TUB0,LB
15.30811111,0.536000013,TUB0,LB
15.48611111,0.542699993,TUB0,LB
15.66411111,0.546599984,TUB0,LB
15.84211111,0.547900021,TUB0,LB
16.02011111,0.547699988,TUB0,LB
16.19813889,0.542900026,TUB0,LB
16.37613889,0.540000021,TUB0,LB
16.55413889,0.545000017,TUB0,LB
16.73213889,0.548799992,TUB0,LB
16.91013889,0.542500019,TUB0,LB
17.08813889,0.542999983,TUB0,LB
17.26613889,0.547100008,TUB0,LB
17.44413889,0.551699996,TUB0,LB
17.62213889,0.553600013,TUB0,LB
17.80013889,0.557099998,TUB0,LB
17.97813889,0.560100019,TUB0,LB
18.15613889,0.557900012,TUB0,LB
18.33413889,0.564899981,TUB0,LB
18.51213889,0.559000015,TUB0,LB
18.69013889,0.558000028,TUB0,LB
18.86813889,0.562900007,TUB0,LB
19.04613889,0.563300014,TUB0,LB
19.22413889,0.574299991,TUB0,LB
19.40213889,0.571099997,TUB0,LB
19.58013889,0.574999988,TUB0,LB
19.75813889,0.572399974,TUB0,LB
19.93613889,0.575200021,TUB0,LB
20.11413889,0.578800023,TUB0,LB
20.29216667,0.585799992,TUB0,LB
20.47016667,0.589900017,TUB0,LB
20.64816667,0.594099998,TUB0,LB
20.82616667,0.604300022,TUB0,LB
21.00416667,0.619799972,TUB0,LB
21.18216667,0.626399994,TUB0,LB
21.36019444,0.627399981,TUB0,LB
21.53819444,0.627499998,TUB0,LB
21.71619444,0.634800017,TUB0,LB
21.89419444,0.638400018,TUB0,LB
22.07219444,0.640799999,TUB0,LB
22.25019444,0.643599987,TUB0,LB
22.42819444,0.650200009,TUB0,LB
22.60619444,0.65200001,TUB0,LB
22.78419444,0.651799977,TUB0,LB
22.96219444,0.658200026,TUB0,LB
23.14019444,0.657700002,TUB0,LB
23.31819444,0.655700028,TUB0,LB
23.49619444,0.659300029,TUB0,LB
23.67419444,0.660399973,TUB0,LB
23.85219444,0.662400007,TUB0,LB
24.03019444,0.666299999,TUB0,LB
24.20819444,0.663100004,TUB0,LB
24.38619444,0.668600023,TUB0,LB
24.56419444,0.673200011,TUB0,LB
24.74222222,0.675999999,TUB0,LB
24.92022222,0.674600005,TUB0,LB
25.09822222,0.673600018,TUB0,LB
25.27622222,0.677200019,TUB0,LB
25.45422222,0.677200019,TUB0,LB
25.63222222,0.676500022,TUB0,LB
25.81022222,0.681200027,TUB0,LB
25.98822222,0.682600021,TUB0,LB
26.16622222,0.6875,TUB0,LB
26.34422222,0.6875,TUB0,LB
26.52222222,0.688199997,TUB0,LB
26.70022222,0.692600012,TUB0,LB
26.87822222,0.698300004,TUB0,LB
27.05622222,0.696799994,TUB0,LB
27.23422222,0.708500028,TUB0,LB
27.41222222,0.720099986,TUB0,LB
27.59022222,0.726000011,TUB0,LB
27.76822222,0.725700021,TUB0,LB
27.94622222,0.728200018,TUB0,LB
28.12422222,0.727100015,TUB0,LB
28.30222222,0.726499975,TUB0,LB
28.48025,0.729799986,TUB0,LB
28.65822222,0.734000027,TUB0,LB
28.83622222,0.734099984,TUB0,LB
29.01425,0.738099992,TUB0,LB
29.19225,0.736899972,TUB0,LB
29.37025,0.739799976,TUB0,LB
29.54825,0.742699981,TUB0,LB
29.72625,0.745599985,TUB0,LB
29.90425,0.744899988,TUB0,LB
30.08225,0.745199978,TUB0,LB
30.26025,0.746299982,TUB0,LB
30.43825,0.747399986,TUB0,LB
30.61625,0.751900017,TUB0,LB
30.79425,0.754499972,TUB0,LB
30.97225,0.753499985,TUB0,LB
31.15025,0.757000029,TUB0,LB
31.32825,0.7579,TUB0,LB
31.50625,0.765999973,TUB0,LB
31.68425,0.785399973,TUB0,LB
31.86225,0.789399981,TUB0,LB
32.04025,0.786800027,TUB0,LB
32.21825,0.785700023,TUB0,LB
32.39625,0.790300012,TUB0,LB
32.57425,0.787100017,TUB0,LB
32.75225,0.791100025,TUB0,LB
32.93025,0.790499985,TUB0,LB
33.10825,0.810800016,TUB0,LB
33.28625,0.820100009,TUB0,LB
33.46425,0.820500016,TUB0,LB
33.64225,0.863900006,TUB0,LB
33.82025,0.910700023,TUB0,LB
33.99827778,0.898100019,TUB0,LB
34.17627778,0.868200004,TUB0,LB
34.35427778,0.825200021,TUB0,LB
34.53227778,0.818199992,TUB0,LB
34.71027778,0.832099974,TUB0,LB
34.88827778,0.872300029,TUB0,LB
35.06627778,0.913100004,TUB0,LB
35.24427778,0.924499989,TUB0,LB
35.42227778,0.892199993,TUB0,LB
35.60027778,0.886200011,TUB0,LB
35.77827778,0.912299991,TUB0,LB
35.95627778,0.8653,TUB0,LB
36.13427778,0.841199994,TUB0,LB
36.31227778,0.888199985,TUB0,LB
